,Name,Team,Cmp,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Link,Pass_Att,Pass_Yds,Pass_TD,Int,Sk_Yds,Pass_Lng,Rate,Rush_Att,Rush_Yds,Rush_TD,Rush_Lng,Fmb,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,J.Love,Green Bay Packers,13,9,36.0,284,12.3,71,5.5,3.1,92,7.1,0,0.0%,0,0.0%,2,0,0,0,2,8.0%,0,0,/players/L/LoveJo03.htm,23,163,2,0,7,29,107.7,1,2,0,2,0,0,94.0,1124,San Francisco 49ers,1,Lambeau Field,outdoors,grass,63,86,7,0,Mostly Cloudy
1,B.Allen,San Francisco 49ers,17,8,25.8,210,7.2,83,4.9,2.9,116,6.8,0,0.0%,0,0.0%,2,0,0,0,2,6.3%,1,6.0,/players/A/AlleBr00.htm,29,199,1,1,2,31,76.7,2,5,0,6,2,1,100.0,1124,Green Bay Packers,0,Lambeau Field,outdoors,grass,77,66,13,4,Clear
2,J.Daniels,Washington Commanders,25,11,26.2,320,8.4,153,6.1,4.0,122,4.9,0,0.0%,0,0.0%,4,0,0,0,4,9.1%,2,12.5,/players/D/DaniJa02.htm,38,275,2,2,8,86,82.7,7,74,1,23,0,0,100.0,1124,Dallas Cowboys,1,Northwest,outdoors,grass,90,72,6,66,Mostly Cloudy
3,C.Rush,Dallas Cowboys,24,12,36.4,193,6.0,132,5.5,4.1,115,4.8,0,0.0%,0,0.0%,1,0,0,0,1,3.0%,0,0,/players/R/RushCo00.htm,32,247,2,0,6,41,117.6,4,1,0,3,1,0,97.0,1124,Washington Commanders,0,Northwest,outdoors,grass,67,52,18,1,Partly Cloudy
4,T.Tagovailoa,Miami Dolphins,29,19,45.2,225,5.6,150,5.2,3.8,167,5.8,0,0.0%,0,0.0%,2,0,0,0,2,4.8%,0,0,/players/T/TagoTu00.htm,40,317,4,0,9,29,128.9,3,-2,0,0,0,0,97.0,1124,New England Patriots,1,Hard Rock,outdoors,grass,91,62,13,7,Clear
5,D.Maye,New England Patriots,22,8,19.5,278,7.5,116,5.3,3.1,106,4.8,0,0.0%,0,0.0%,4,0,0,0,4,8.9%,4,6.8,/players/M/MayeDr00.htm,37,222,1,1,39,38,74.4,5,26,0,9,1,1,100.0,1124,Miami Dolphins,0,Hard Rock,outdoors,grass,63,36,3,0,Clear
6,C.Williams,Chicago Bears,32,14,28.0,310,6.6,157,4.9,3.3,183,5.7,0,0.0%,0,0.0%,3,0,0,0,3,5.5%,5,5.8,/players/W/WillCa03.htm,47,340,2,0,20,40,103.1,6,33,0,10,0,0,100.0,1124,Minnesota Vikings,1,Soldier Field,outdoors,grass,65,40,11,0,Partly Cloudy
7,S.Darnold,Minnesota Vikings,22,12,32.4,295,8.7,199,9.0,5.9,131,6.0,0,0.0%,0,0.0%,3,0,0,0,3,8.1%,0,0,/players/D/DarnSa00.htm,34,330,2,0,16,69,116.1,2,-1,0,1,0,0,97.0,1124,Chicago Bears,0,Soldier Field,outdoors,grass,64,35,10,0,Clear
8,T.DeVito,New York Giants,21,11,31.4,201,6.5,103,4.9,3.3,86,4.1,0,0.0%,0,0.0%,4,0,0,0,4,10.3%,4,7.8,/players/D/DeViTo00.htm,31,189,0,0,23,23,83.9,7,32,0,17,0,0,98.0,1124,Tampa Bay Buccaneers,1,MetLife,outdoors,turf,64,35,10,0,Clear
9,B.Mayfield,Tampa Bay Buccaneers,24,12,40.0,201,6.7,153,6.4,5.1,141,5.9,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,2,10.0,/players/M/MayfBa00.htm,30,294,0,0,0,32,107.5,4,29,1,10,2,1,100.0,1124,New York Giants,0,MetLife,outdoors,turf,90,72,6,66,Mostly Cloudy
10,B.Young,Carolina Panthers,21,13,35.1,288,8.2,162,7.7,4.6,101,4.8,0,0.0%,0,0.0%,2,0,0,0,2,5.0%,3,6.7,/players/Y/YounBr01.htm,35,263,1,0,14,36,92.9,3,20,0,11,1,0,100.0,1124,Kansas City Chiefs,1,Bank of America,outdoors,grass,80,69,11,2,Clear
11,P.Mahomes,Kansas City Chiefs,27,15,35.7,229,6.2,137,5.1,3.7,132,4.9,0,0.0%,0,0.0%,5,0,0,0,5,10.6%,5,12.0,/players/M/MahoPa00.htm,37,269,3,0,43,35,120.2,5,60,0,33,1,0,100.0,1124,Carolina Panthers,0,Bank of America,outdoors,grass,84,49,6,21,Partly Cloudy
12,M.Stafford,Los Angeles Rams,24,13,31.7,233,6.5,136,5.7,3.8,107,4.5,0,0.0%,0,0.0%,5,0,0,0,5,11.9%,1,15.0,/players/S/StafMa00.htm,36,243,2,0,45,29,104.3,1,15,0,15,1,0,100.0,1124,Philadelphia Eagles,1,SoFi,indoors,turf,69,49,7,3,Clear
13,J.Hurts,Philadelphia Eagles,15,10,43.5,142,6.5,71,4.7,3.2,108,7.2,0,0.0%,0,0.0%,1,0,0,0,1,3.8%,3,7.3,/players/H/HurtJa00.htm,22,179,1,0,12,31,108.0,12,39,0,11,0,0,97.0,1124,Los Angeles Rams,0,SoFi,indoors,turf,63,86,7,0,Mostly Cloudy
14,G.Minshew,Las Vegas Raiders,25,11,24.4,215,5.1,137,5.5,3.3,93,3.7,0,0.0%,0,0.0%,3,0,0,0,3,6.5%,1,5.0,/players/M/MinsGa00.htm,42,230,1,1,12,25,72.5,2,5,0,5,1,0,83.0,1124,Denver Broncos,1,Allegiant,indoors,grass,96,27,8,5,Clear
15,B.Nix,Denver Broncos,25,13,30.2,298,7.1,153,6.1,3.6,120,4.8,0,0.0%,0,0.0%,1,0,0,0,1,2.3%,1,5.0,/players/N/NixxBo00.htm,42,273,2,0,11,37,94.6,1,5,0,5,0,0,100.0,1124,Las Vegas Raiders,0,Allegiant,indoors,grass,65,73,7,3,Mostly Cloudy
16,A.Richardson,Indianapolis Colts,11,7,25.0,364,13.0,97,8.8,3.5,75,6.8,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,2,2.5,/players/R/RichAn03.htm,28,172,0,0,0,39,60.4,10,61,0,17,1,0,100.0,1124,Detroit Lions,1,Lucas Oil,indoors,turf,64,40,0,0,Mostly Cloudy
17,J.Goff,Detroit Lions,26,15,38.5,184,5.1,94,3.6,2.6,175,6.7,0,0.0%,0,0.0%,3,0,0,0,3,7.5%,1,1.0,/players/G/GoffJa00.htm,36,269,0,0,16,27,93.4,2,0,0,1,1,0,100.0,1124,Indianapolis Colts,0,Lucas Oil,indoors,turf,69,49,7,3,Clear
18,G.Smith,Seattle Seahawks,22,12,33.3,189,6.1,84,3.8,2.7,170,7.7,0,0.0%,0,0.0%,5,0,0,0,5,13.5%,1,4.0,/players/S/SmitGe00.htm,31,254,1,1,34,46,92.7,3,2,0,4,1,0,100.0,1124,Arizona Cardinals,1,Lumen Field,outdoors,turf,65,73,7,3,Mostly Cloudy
19,K.Murray,Arizona Cardinals,24,15,35.7,282,7.6,141,5.9,3.8,144,6.0,0,0.0%,0,0.0%,5,0,0,0,5,11.6%,1,6.0,/players/M/MurrKy00.htm,37,285,0,1,36,30,77.0,2,9,0,6,0,0,100.0,1124,Seattle Seahawks,0,Lumen Field,outdoors,turf,61,67,16,14,Mostly Cloudy
20,C.Stroud,Houston Texans,20,11,29.7,271,8.2,156,7.8,4.7,91,4.6,0,0.0%,4,12.5%,4,4,1,1,6,15.0%,3,6.0,/players/S/StroCJ00.htm,33,247,2,2,27,56,78.7,3,18,0,7,0,0,100.0,1124,Tennessee Titans,1,NRG,indoors,turf,64,40,0,0,Mostly Cloudy
21,W.Levis,Tennessee Titans,18,8,25.0,187,7.8,132,7.3,5.5,146,8.1,1,4.2%,1,4.2%,8,4,0,1,9,27.3%,1,3.0,/players/L/LeviWi00.htm,24,278,2,1,41,70,123.3,8,10,0,6,1,1,100.0,1124,Houston Texans,0,NRG,indoors,turf,65,40,11,0,Partly Cloudy
